name_display,name_pretty,state,countyFIPS
"Cleburne County, AR",Cleburne County,AR,05023
"Cleveland County, AR",Cleveland County,AR,05025
"Columbia County, AR",Columbia County,AR,05027
"Conway County, AR",Conway County,AR,05029
"Craighead County, AR",Craighead County,AR,05031
"Crawford County, AR",Crawford County,AR,05033
"Crittenden County, AR",Crittenden County,AR,05035
"Cross County, AR",Cross County,AR,05037
"Dallas County, AR",Dallas County,AR,05039
"Desha County, AR",Desha County,AR,05041
"Drew County, AR",Drew County,AR,05043
"Faulkner County, AR",Faulkner County,AR,05045
"Franklin County, AR",Franklin County,AR,05047
"Fulton County, AR",Fulton County,AR,05049
"Garland County, AR",Garland County,AR,05051
"Grant County, AR",Grant County,AR,05053
"Greene County, AR",Greene County,AR,05055
"Hempstead County, AR",Hempstead County,AR,05057
"Hot Spring County, AR",Hot Spring County,AR,05059
"Howard County, AR",Howard County,AR,05061
"Independence County, AR",Independence County,AR,05063
"Izard County, AR",Izard County,AR,05065
"Jackson County, AR",Jackson County,AR,05067
"Jefferson County, AR",Jefferson County,AR,05069
"Johnson County, AR",Johnson County,AR,05071
"Lafayette County, AR",Lafayette County,AR,05073
"Lawrence County, AR",Lawrence County,AR,05075
"Lee County, AR",Lee County,AR,05077
"Lincoln County, AR",Lincoln County,AR,05079
"Little River County, AR",Little River County,AR,05081
"Logan County, AR",Logan County,AR,05083
"Lonoke County, AR",Lonoke County,AR,05085
"Madison County, AR",Madison County,AR,05087
"Marion County, AR",Marion County,AR,05089
"Miller County, AR",Miller County,AR,05091
"Mississippi County, AR",Mississippi County,AR,05093
"Monroe County, AR",Monroe County,AR,05095
"Montgomery County, AR",Montgomery County,AR,05097
"Nevada County, AR",Nevada County,AR,05099
"Newton County, AR",Newton County,AR,05101
"Ouachita County, AR",Ouachita County,AR,05103
"Perry County, AR",Perry County,AR,05105
"Phillips County, AR",Phillips County,AR,05107
"Pike County, AR",Pike County,AR,05109
"Poinsett County, AR",Poinsett County,AR,05111
"Polk County, AR",Polk County,AR,05113
"Pope County, AR",Pope County,AR,05115
"Prairie County, AR",Prairie County,AR,05117
"Pulaski County, AR",Pulaski County,AR,05119
"Randolph County, AR",Randolph County,AR,05121
"St. Francis County, AR",St. Francis County,AR,05123
"Saline County, AR",Saline County,AR,05125
"Scott County, AR",Scott County,AR,05127
"Searcy County, AR",Searcy County,AR,05129
"Sebastian County, AR",Sebastian County,AR,05131
"Sevier County, AR",Sevier County,AR,05133
"Sharp County, AR",Sharp County,AR,05135
"Stone County, AR",Stone County,AR,05137
"Union County, AR",Union County,AR,05139
"Van Buren County, AR",Van Buren County,AR,05141
"Washington County, AR",Washington County,AR,05143
"White County, AR",White County,AR,05145
"Woodruff County, AR",Woodruff County,AR,05147
"Yell County, AR",Yell County,AR,05149
"Grand Princess Cruise Ship, CA",Grand Princess Cruise Ship,CA,06000
"Alameda County, CA",Alameda County,CA,06001
"Alpine County, CA",Alpine County,CA,06003
"Amador County, CA",Amador County,CA,06005
"Butte County, CA",Butte County,CA,06007
"Calaveras County, CA",Calaveras County,CA,06009
"Colusa County, CA",Colusa County,CA,06011
"Contra Costa County, CA",Contra Costa County,CA,06013
"Del Norte County, CA",Del Norte County,CA,06015
"El Dorado County, CA",El Dorado County,CA,06017
"Fresno County, CA",Fresno County,CA,06019
"Glenn County, CA",Glenn County,CA,06021
"Humboldt County, CA",Humboldt County,CA,06023
"Imperial County, CA",Imperial County,CA,06025
"Inyo County, CA",Inyo County,CA,06027
"Kern County, CA",Kern County,CA,06029
"Kings County, CA",Kings County,CA,06031
"Lake County, CA",Lake County,CA,06033
"Lassen County, CA",Lassen County,CA,06035
"Los Angeles County, CA",Los Angeles County,CA,06037
"Madera County, CA",Madera County,CA,06039
"Marin County, CA",Marin County,CA,06041
"Mariposa County, CA",Mariposa County,CA,06043
"Mendocino County, CA",Mendocino County,CA,06045
"Merced County, CA",Merced County,CA,06047
"Modoc County, CA",Modoc County,CA,06049
"Mono County, CA",Mono County,CA,06051
"Monterey County, CA",Monterey County,CA,06053
"Napa County, CA",Napa County,CA,06055
"Nevada County, CA",Nevada County,CA,06057
"Orange County, CA",Orange County,CA,06059
"Placer County, CA",Placer County,CA,06061
"Plumas County, CA",Plumas County,CA,06063
"Riverside County, CA",Riverside County,CA,06065
"Sacramento County, CA",Sacramento County,CA,06067
"San Benito County, CA",San Benito County,CA,06069
"San Bernardino County, CA",San Bernardino County,CA,06071
"San Diego County, CA",San Diego County,CA,06073
"San Francisco County, CA",San Francisco County,CA,06075
"San Joaquin County, CA",San Joaquin County,CA,06077
"San Luis Obispo County, CA",San Luis Obispo County,CA,06079
"San Mateo County, CA",San Mateo County,CA,06081
"Santa Barbara County, CA",Santa Barbara County,CA,06083
"Santa Clara County, CA",Santa Clara County,CA,06085
"Santa Cruz County, CA",Santa Cruz County,CA,06087
"Shasta County, CA",Shasta County,CA,06089
"Sierra County, CA",Sierra County,CA,06091
"Siskiyou County, CA",Siskiyou County,CA,06093
"Solano County, CA",Solano County,CA,06095
"Sonoma County, CA",Sonoma County,CA,06097
"Stanislaus County, CA",Stanislaus County,CA,06099
"Sutter County, CA",Sutter County,CA,06101
"Tehama County, CA",Tehama County,CA,06103
"Trinity County, CA",Trinity County,CA,06105
"Tulare County, CA",Tulare County,CA,06107
"Tuolumne County, CA",Tuolumne County,CA,06109
"Ventura County, CA",Ventura County,CA,06111
"Yolo County, CA",Yolo County,CA,06113
"Yuba County, CA",Yuba County,CA,06115
"Adams County, CO",Adams County,CO,08001
"Alamosa County, CO",Alamosa County,CO,08003
"Arapahoe County, CO",Arapahoe County,CO,08005
"Archuleta County, CO",Archuleta County,CO,08007
"Baca County, CO",Baca County,CO,08009
"Bent County, CO",Bent County,CO,08011
"Boulder County, CO",Boulder County,CO,08013
"Broomfield County and City, CO",Broomfield County and City,CO,08014
"Chaffee County, CO",Chaffee County,CO,08015
"Cheyenne County, CO",Cheyenne County,CO,08017
"Clear Creek County, CO",Clear Creek County,CO,08019
"Conejos County, CO",Conejos County,CO,08021
"Costilla County, CO",Costilla County,CO,08023
"Crowley County, CO",Crowley County,CO,08025
"Custer County, CO",Custer County,CO,08027
"Delta County, CO",Delta County,CO,08029
"Denver County, CO",Denver County,CO,08031
"Dolores County, CO",Dolores County,CO,08033
"Douglas County, CO",Douglas County,CO,08035
"Eagle County, CO",Eagle County,CO,08037
"Elbert County, CO",Elbert County,CO,08039
"El Paso County, CO",El Paso County,CO,08041
"Fremont County, CO",Fremont County,CO,08043
"Garfield County, CO",Garfield County,CO,08045
"Gilpin County, CO",Gilpin County,CO,08047
"Grand County, CO",Grand County,CO,08049
"Gunnison County, CO",Gunnison County,CO,08051
"Hinsdale County, CO",Hinsdale County,CO,08053
"Huerfano County, CO",Huerfano County,CO,08055
"Jackson County, CO",Jackson County,CO,08057
"Jefferson County, CO",Jefferson County,CO,08059
"Kiowa County, CO",Kiowa County,CO,08061
"Kit Carson County, CO",Kit Carson County,CO,08063
"Lake County, CO",Lake County,CO,08065
"La Plata County, CO",La Plata County,CO,08067
"Larimer County, CO",Larimer County,CO,08069
"Las Animas County, CO",Las Animas County,CO,08071
"Lincoln County, CO",Lincoln County,CO,08073
"Logan County, CO",Logan County,CO,08075
"Mesa County, CO",Mesa County,CO,08077
"Mineral County, CO",Mineral County,CO,08079
"Moffat County, CO",Moffat County,CO,08081
"Montezuma County, CO",Montezuma County,CO,08083
"Montrose County, CO",Montrose County,CO,08085
"Morgan County, CO",Morgan County,CO,08087
"Otero County, CO",Otero County,CO,08089
"Ouray County, CO",Ouray County,CO,08091
"Park County, CO",Park County,CO,08093
"Phillips County, CO",Phillips County,CO,08095
"Pitkin County, CO",Pitkin County,CO,08097
"Prowers County, CO",Prowers County,CO,08099
"Pueblo County, CO",Pueblo County,CO,08101
"Rio Blanco County, CO",Rio Blanco County,CO,08103
"Rio Grande County, CO",Rio Grande County,CO,08105
"Routt County, CO",Routt County,CO,08107
"Saguache County, CO",Saguache County,CO,08109
"San Juan County, CO",San Juan County,CO,08111
"San Miguel County, CO",San Miguel County,CO,08113
"Sedgwick County, CO",Sedgwick County,CO,08115
"Summit County, CO",Summit County,CO,08117
"Teller County, CO",Teller County,CO,08119
"Washington County, CO",Washington County,CO,08121
"Weld County, CO",Weld County,CO,08123
"Yuma County, CO",Yuma County,CO,08125
"Fairfield County, CT",Fairfield County,CT,09001
"Hartford County, CT",Hartford County,CT,09003
"Litchfield County, CT",Litchfield County,CT,09005
"Middlesex County, CT",Middlesex County,CT,09007
"New Haven County, CT",New Haven County,CT,09009
"New London County, CT",New London County,CT,09011
"Tolland County, CT",Tolland County,CT,09013
"Windham County, CT",Windham County,CT,09015
"Kent County, DE",Kent County,DE,10001
"New Castle County, DE",New Castle County,DE,10003
"Sussex County, DE",Sussex County,DE,10005
"Washington, DC",Washington,DC,11001
"Alachua County, FL",Alachua County,FL,12001
"Baker County, FL",Baker County,FL,12003
"Bay County, FL",Bay County,FL,12005
"Bradford County, FL",Bradford County,FL,12007
"Brevard County, FL",Brevard County,FL,12009
"Broward County, FL",Broward County,FL,12011
"Calhoun County, FL",Calhoun County,FL,12013
"Charlotte County, FL",Charlotte County,FL,12015
"Citrus County, FL",Citrus County,FL,12017
"Clay County, FL",Clay County,FL,12019
"Collier County, FL",Collier County,FL,12021
"Columbia County, FL",Columbia County,FL,12023
"DeSoto County, FL",DeSoto County,FL,12027
"Dixie County, FL",Dixie County,FL,12029
"Duval County, FL",Duval County,FL,12031
"Escambia County, FL",Escambia County,FL,12033
"Flagler County, FL",Flagler County,FL,12035
"Franklin County, FL",Franklin County,FL,12037
"Gadsden County, FL",Gadsden County,FL,12039
"Gilchrist County, FL",Gilchrist County,FL,12041
"Glades County, FL",Glades County,FL,12043
"Gulf County, FL",Gulf County,FL,12045
"Hamilton County, FL",Hamilton County,FL,12047
"Hardee County, FL",Hardee County,FL,12049
"Hendry County, FL",Hendry County,FL,12051
"Hernando County, FL",Hernando County,FL,12053
"Highlands County, FL",Highlands County,FL,12055
"Hillsborough County, FL",Hillsborough County,FL,12057
"Holmes County, FL",Holmes County,FL,12059
"Indian River County, FL",Indian River County,FL,12061
"Jackson County, FL",Jackson County,FL,12063
"Jefferson County, FL",Jefferson County,FL,12065
"Lafayette County, FL",Lafayette County,FL,12067
"Lake County, FL",Lake County,FL,12069
"Lee County, FL",Lee County,FL,12071
"Leon County, FL",Leon County,FL,12073
"Levy County, FL",Levy County,FL,12075
"Liberty County, FL",Liberty County,FL,12077
"Madison County, FL",Madison County,FL,12079
"Manatee County, FL",Manatee County,FL,12081
"Marion County, FL",Marion County,FL,12083
"Martin County, FL",Martin County,FL,12085
"Miami-Dade County, FL",Miami-Dade County,FL,12086
"Monroe County, FL",Monroe County,FL,12087
"Nassau County, FL",Nassau County,FL,12089
"Okaloosa County, FL",Okaloosa County,FL,12091
"Okeechobee County, FL",Okeechobee County,FL,12093
"Orange County, FL",Orange County,FL,12095
"Osceola County, FL",Osceola County,FL,12097
"Palm Beach County, FL",Palm Beach County,FL,12099
"Pasco County, FL",Pasco County,FL,12101
"Pinellas County, FL",Pinellas County,FL,12103
"Polk County, FL",Polk County,FL,12105
"Putnam County, FL",Putnam County,FL,12107
"St. Johns County, FL",St. Johns County,FL,12109
"St. Lucie County, FL",St. Lucie County,FL,12111
"Santa Rosa County, FL",Santa Rosa County,FL,12113
"Sarasota County, FL",Sarasota County,FL,12115
"Seminole County, FL",Seminole County,FL,12117
"Sumter County, FL",Sumter County,FL,12119
"Suwannee County, FL",Suwannee County,FL,12121
"Taylor County, FL",Taylor County,FL,12123
"Union County, FL",Union County,FL,12125
"Volusia County, FL",Volusia County,FL,12127
"Wakulla County, FL",Wakulla County,FL,12129
"Walton County, FL",Walton County,FL,12131
"Washington County, FL",Washington County,FL,12133
"Appling County, GA",Appling County,GA,13001
"Atkinson County, GA",Atkinson County,GA,13003
"Bacon County, GA",Bacon County,GA,13005
"Baker County, GA",Baker County,GA,13007
"Baldwin County, GA",Baldwin County,GA,13009
"Banks County, GA",Banks County,GA,13011
"Barrow County, GA",Barrow County,GA,13013
"Bartow County, GA",Bartow County,GA,13015
"Ben Hill County, GA",Ben Hill County,GA,13017
"Berrien County, GA",Berrien County,GA,13019
"Bibb County, GA",Bibb County,GA,13021
"Bleckley County, GA",Bleckley County,GA,13023
"Brantley County, GA",Brantley County,GA,13025
"Brooks County, GA",Brooks County,GA,13027
"Bryan County, GA",Bryan County,GA,13029
"Bulloch County, GA",Bulloch County,GA,13031
"Burke County, GA",Burke County,GA,13033
"Butts County, GA",Butts County,GA,13035
"Calhoun County, GA",Calhoun County,GA,13037
"Camden County, GA",Camden County,GA,13039
"Candler County, GA",Candler County,GA,13043
"Carroll County, GA",Carroll County,GA,13045
"Catoosa County, GA",Catoosa County,GA,13047
"Charlton County, GA",Charlton County,GA,13049
"Chatham County, GA",Chatham County,GA,13051
"Chattahoochee County, GA",Chattahoochee County,GA,13053
"Chattooga County, GA",Chattooga County,GA,13055
"Cherokee County, GA",Cherokee County,GA,13057
"Clarke County, GA",Clarke County,GA,13059
"Clay County, GA",Clay County,GA,13061
"Clayton County, GA",Clayton County,GA,13063
"Clinch County, GA",Clinch County,GA,13065
"Cobb County, GA",Cobb County,GA,13067
"Coffee County, GA",Coffee County,GA,13069
"Colquitt County, GA",Colquitt County,GA,13071
"Columbia County, GA",Columbia County,GA,13073
"Cook County, GA",Cook County,GA,13075
"Coweta County, GA",Coweta County,GA,13077
"Crawford County, GA",Crawford County,GA,13079
"Crisp County, GA",Crisp County,GA,13081
"Dade County, GA",Dade County,GA,13083
"Dawson County, GA",Dawson County,GA,13085
"Decatur County, GA",Decatur County,GA,13087
"DeKalb County, GA",DeKalb County,GA,13089
"Dodge County, GA",Dodge County,GA,13091
"Dooly County, GA",Dooly County,GA,13093
"Dougherty County, GA",Dougherty County,GA,13095
"Douglas County, GA",Douglas County,GA,13097
"Early County, GA",Early County,GA,13099
"Echols County, GA",Echols County,GA,13101
"Effingham County, GA",Effingham County,GA,13103
"Elbert County, GA",Elbert County,GA,13105
"Emanuel County, GA",Emanuel County,GA,13107
"Evans County, GA",Evans County,GA,13109
"Fannin County, GA",Fannin County,GA,13111
"Fayette County, GA",Fayette County,GA,13113
"Floyd County, GA",Floyd County,GA,13115
"Forsyth County, GA",Forsyth County,GA,13117
"Franklin County, GA",Franklin County,GA,13119
"Fulton County, GA",Fulton County,GA,13121
"Gilmer County, GA",Gilmer County,GA,13123
"Glascock County, GA",Glascock County,GA,13125
"Glynn County, GA",Glynn County,GA,13127
"Gordon County, GA",Gordon County,GA,13129
"Grady County, GA",Grady County,GA,13131
"Greene County, GA",Greene County,GA,13133
"Gwinnett County, GA",Gwinnett County,GA,13135
"Habersham County, GA",Habersham County,GA,13137
"Hall County, GA",Hall County,GA,13139
"Hancock County, GA",Hancock County,GA,13141
"Haralson County, GA",Haralson County,GA,13143
"Harris County, GA",Harris County,GA,13145
"Hart County, GA",Hart County,GA,13147
"Heard County, GA",Heard County,GA,13149
"Henry County, GA",Henry County,GA,13151
"Houston County, GA",Houston County,GA,13153
"Irwin County, GA",Irwin County,GA,13155
"Jackson County, GA",Jackson County,GA,13157
"Jasper County, GA",Jasper County,GA,13159
"Jeff Davis County, GA",Jeff Davis County,GA,13161
"Jefferson County, GA",Jefferson County,GA,13163
"Jenkins County, GA",Jenkins County,GA,13165
"Johnson County, GA",Johnson County,GA,13167
"Jones County, GA",Jones County,GA,13169
"Lamar County, GA",Lamar County,GA,13171
"Lanier County, GA",Lanier County,GA,13173
"Laurens County, GA",Laurens County,GA,13175
"Lee County, GA",Lee County,GA,13177
"Liberty County, GA",Liberty County,GA,13179
"Lincoln County, GA",Lincoln County,GA,13181
"Long County, GA",Long County,GA,13183
"Lowndes County, GA",Lowndes County,GA,13185
"Lumpkin County, GA",Lumpkin County,GA,13187
"McDuffie County, GA",McDuffie County,GA,13189
"McIntosh County, GA",McIntosh County,GA,13191
"Macon County, GA",Macon County,GA,13193
"Madison County, GA",Madison County,GA,13195
"Marion County, GA",Marion County,GA,13197
"Meriwether County, GA",Meriwether County,GA,13199
"Miller County, GA",Miller County,GA,13201
"Mitchell County, GA",Mitchell County,GA,13205
"Monroe County, GA",Monroe County,GA,13207
"Montgomery County, GA",Montgomery County,GA,13209
"Morgan County, GA",Morgan County,GA,13211
"Murray County, GA",Murray County,GA,13213
"Muscogee County, GA",Muscogee County,GA,13215
"Newton County, GA",Newton County,GA,13217
"Oconee County, GA",Oconee County,GA,13219
"Oglethorpe County, GA",Oglethorpe County,GA,13221
"Paulding County, GA",Paulding County,GA,13223
"Peach County, GA",Peach County,GA,13225
"Pickens County, GA",Pickens County,GA,13227
"Pierce County, GA",Pierce County,GA,13229
"Pike County, GA",Pike County,GA,13231
"Polk County, GA",Polk County,GA,13233
"Pulaski County, GA",Pulaski County,GA,13235
"Putnam County, GA",Putnam County,GA,13237
"Quitman County, GA",Quitman County,GA,13239
"Rabun County, GA",Rabun County,GA,13241
"Randolph County, GA",Randolph County,GA,13243
"Richmond County, GA",Richmond County,GA,13245
"Rockdale County, GA",Rockdale County,GA,13247
"Schley County, GA",Schley County,GA,13249
"Screven County, GA",Screven County,GA,13251
"Seminole County, GA",Seminole County,GA,13253
"Spalding County, GA",Spalding County,GA,13255
"Stephens County, GA",Stephens County,GA,13257
"Stewart County, GA",Stewart County,GA,13259
"Sumter County, GA",Sumter County,GA,13261
"Talbot County, GA",Talbot County,GA,13263
"Taliaferro County, GA",Taliaferro County,GA,13265
"Tattnall County, GA",Tattnall County,GA,13267
"Taylor County, GA",Taylor County,GA,13269
"Telfair County, GA",Telfair County,GA,13271
"Terrell County, GA",Terrell County,GA,13273
"Thomas County, GA",Thomas County,GA,13275
"Tift County, GA",Tift County,GA,13277
"Toombs County, GA",Toombs County,GA,13279
"Towns County, GA",Towns County,GA,13281
"Treutlen County, GA",Treutlen County,GA,13283
"Troup County, GA",Troup County,GA,13285
"Turner County, GA",Turner County,GA,13287
"Twiggs County, GA",Twiggs County,GA,13289
"Union County, GA",Union County,GA,13291
"Upson County, GA",Upson County,GA,13293
"Walker County, GA",Walker County,GA,13295
"Walton County, GA",Walton County,GA,13297
"Ware County, GA",Ware County,GA,13299
"Warren County, GA",Warren County,GA,13301
"Washington County, GA",Washington County,GA,13303
"Wayne County, GA",Wayne County,GA,13305
"Webster County, GA",Webster County,GA,13307
"Wheeler County, GA",Wheeler County,GA,13309
"White County, GA",White County,GA,13311
"Whitfield County, GA",Whitfield County,GA,13313
"Wilcox County, GA",Wilcox County,GA,13315
"Wilkes County, GA",Wilkes County,GA,13317
"Wilkinson County, GA",Wilkinson County,GA,13319
"Worth County, GA",Worth County,GA,13321
"Hawaii County, HI",Hawaii County,HI,15001
"Honolulu County, HI",Honolulu County,HI,15003
"Kalawao County, HI",Kalawao County,HI,15005
"Kauai County, HI",Kauai County,HI,15007
"Maui County, HI",Maui County,HI,15009
"Ada County, ID",Ada County,ID,16001
"Adams County, ID",Adams County,ID,16003
"Bannock County, ID",Bannock County,ID,16005
"Bear Lake County, ID",Bear Lake County,ID,16007
"Benewah County, ID",Benewah County,ID,16009
"Bingham County, ID",Bingham County,ID,16011
"Blaine County, ID",Blaine County,ID,16013
"Boise County, ID",Boise County,ID,16015
"Bonner County, ID",Bonner County,ID,16017
"Bonneville County, ID",Bonneville County,ID,16019
"Boundary County, ID",Boundary County,ID,16021
"Butte County, ID",Butte County,ID,16023
"Camas County, ID",Camas County,ID,16025
"Canyon County, ID",Canyon County,ID,16027
"Caribou County, ID",Caribou County,ID,16029
"Cassia County, ID",Cassia County,ID,16031
"Clark County, ID",Clark County,ID,16033
"Clearwater County, ID",Clearwater County,ID,16035
"Custer County, ID",Custer County,ID,16037
"Elmore County, ID",Elmore County,ID,16039
"Franklin County, ID",Franklin County,ID,16041
"Fremont County, ID",Fremont County,ID,16043
"Gem County, ID",Gem County,ID,16045
"Gooding County, ID",Gooding County,ID,16047
"Idaho County, ID",Idaho County,ID,16049
"Jefferson County, ID",Jefferson County,ID,16051
"Jerome County, ID",Jerome County,ID,16053
"Kootenai County, ID",Kootenai County,ID,16055
"Latah County, ID",Latah County,ID,16057
"Lemhi County, ID",Lemhi County,ID,16059
"Lewis County, ID",Lewis County,ID,16061
"Lincoln County, ID",Lincoln County,ID,16063
"Madison County, ID",Madison County,ID,16065
"Minidoka County, ID",Minidoka County,ID,16067
"Nez Perce County, ID",Nez Perce County,ID,16069
"Oneida County, ID",Oneida County,ID,16071
"Owyhee County, ID",Owyhee County,ID,16073
"Payette County, ID",Payette County,ID,16075
"Power County, ID",Power County,ID,16077
"Shoshone County, ID",Shoshone County,ID,16079
"Teton County, ID",Teton County,ID,16081
"Twin Falls County, ID",Twin Falls County,ID,16083
"Valley County, ID",Valley County,ID,16085
"Washington County, ID",Washington County,ID,16087
"Adams County, IL",Adams County,IL,17001
"Alexander County, IL",Alexander County,IL,17003
"Bond County, IL",Bond County,IL,17005
"Boone County, IL",Boone County,IL,17007
"Brown County, IL",Brown County,IL,17009
"Bureau County, IL",Bureau County,IL,17011
"Calhoun County, IL",Calhoun County,IL,17013
"Carroll County, IL",Carroll County,IL,17015
"Cass County, IL",Cass County,IL,17017
"Champaign County, IL",Champaign County,IL,17019
"Christian County, IL",Christian County,IL,17021
"Clark County, IL",Clark County,IL,17023
"Clay County, IL",Clay County,IL,17025
"Clinton County, IL",Clinton County,IL,17027
"Coles County, IL",Coles County,IL,17029
"Cook County, IL",Cook County,IL,17031
"Crawford County, IL",Crawford County,IL,17033
