"","X.1","X","Longitude","Latitude","OBJECTID","HOSPITAL_NAME","HOSPITAL_TYPE","NUM_STAFFED_BEDS","NUM_LICENSED_BEDS","NUM_ICU_BEDS","BED_UTILIZATION","Potential_Increase_In_Bed_Capac","Latitude.1","Longitude.1","Accuracy.Score","Accuracy.Type","Number","Street","City","State","County","Zip","Country","Source","text_tip","AVAIL_BEDS","AVAIL_ICU_BEDS"
"30",30,30,-87.7772891,31.695007,30,"Grove Hill Memorial Hospital","Short Term Acute Care Hospital",21,50,NA,0.31272,29,31.694888,-87.777035,1,"nearest_street","308","US Hwy 43","Grove Hill","AL","Clarke County",36451,"US","TIGER/Line® dataset from the US Census Bureau","<b>Grove Hill Memorial Hospital</b><br>Clarke County<br>Num Beds: 21<br>Num ICU Beds: NA<br>Bed Util: 0.31<br>Pot. Bed Increases: 29",14,NA
"31",31,31,-87.895053,31.5311947,31,"Jackson Medical Ctr","Short Term Acute Care Hospital",35,35,NA,0.266849,0,31.531938,-87.8964,1,"nearest_street","","US 43","Jackson","AL","Clarke County",36545,"US","TIGER/Line® dataset from the US Census Bureau","<b>Jackson Medical Ctr</b><br>Clarke County<br>Num Beds: 35<br>Num ICU Beds: NA<br>Bed Util: 0.27<br>Pot. Bed Increases: 0",26,NA
"32",32,32,-85.823822,33.2771472,32,"Clay County Hospital","Short Term Acute Care Hospital",46,53,4,0.291126,7,33.276562,-85.82367,0.98,"nearest_street","83643","1st Ave","Ashland","AL","Clay County",36251,"US","TIGER/Line® dataset from the US Census Bureau","<b>Clay County Hospital</b><br>Clay County<br>Num Beds: 46<br>Num ICU Beds: 4<br>Bed Util: 0.29<br>Pot. Bed Increases: 7",33,3
"33",33,33,-85.855114,31.318647,33,"Medical Center Enterprise","Short Term Acute Care Hospital",99,131,7,0.238052,32,31.318702,-85.855759,0.98,"nearest_street","440","N Edwards St","Enterprise","AL","Coffee County",36330,"US","TIGER/Line® dataset from the US Census Bureau","<b>Medical Center Enterprise</b><br>Coffee County<br>Num Beds: 99<br>Num ICU Beds: 7<br>Bed Util: 0.24<br>Pot. Bed Increases: 32",75,5
"34",34,34,-87.675383,34.744969,34,"Shoals Hospital","Short Term Acute Care Hospital",122,178,10,0.122344,56,34.744551,-87.675579,0.99,"rooftop","204","Avalon Ave","Muscle Shoals","AL","Colbert County",35661,"US","Colbert","<b>Shoals Hospital</b><br>Colbert County<br>Num Beds: 122<br>Num ICU Beds: 10<br>Bed Util: 0.12<br>Pot. Bed Increases: 56",107,9
"35",35,35,-86.9408213,31.4309781,35,"Evergreen Medical Ctr","Short Term Acute Care Hospital",44,58,NA,0.293836,14,31.431369,-86.941077,0.98,"nearest_street","157","Crestview St","Evergreen","AL","Conecuh County",36401,"US","TIGER/Line® dataset from the US Census Bureau","<b>Evergreen Medical Ctr</b><br>Conecuh County<br>Num Beds: 44<br>Num ICU Beds: NA<br>Bed Util: 0.29<br>Pot. Bed Increases: 14",31,NA
"36",36,36,-86.4947624,31.2962978,36,"Andalusia Regional Hospital ","Short Term Acute Care Hospital",83,88,8,0.333718,5,31.297665,-86.495357,1,"nearest_street","825","US Hwy 29","Andalusia","AL","Covington County",36420,"US","TIGER/Line® dataset from the US Census Bureau","<b>Andalusia Regional Hospital </b><br>Covington County<br>Num Beds: 83<br>Num ICU Beds: 8<br>Bed Util: 0.33<br>Pot. Bed Increases: 5",55,5
"37",37,37,-86.2542062,31.2919852,37,"Mizell Memorial Hospital","Short Term Acute Care Hospital",45,99,5,0.278295,54,31.291531,-86.255445,1,"nearest_street","749","US Hwy 331","Opp","AL","Covington County",36467,"US","TIGER/Line® dataset from the US Census Bureau","<b>Mizell Memorial Hospital</b><br>Covington County<br>Num Beds: 45<br>Num ICU Beds: 5<br>Bed Util: 0.28<br>Pot. Bed Increases: 54",32,4
"38",38,38,-86.2650941,31.6933529,38,"Crenshaw Community Hospital","Short Term Acute Care Hospital",29,65,NA,0.126027,36,31.691971,-86.266263,0.97,"nearest_street","34","Meadow Crest Dr","Luverne","AL","Crenshaw County",36049,"US","TIGER/Line® dataset from the US Census Bureau","<b>Crenshaw Community Hospital</b><br>Crenshaw County<br>Num Beds: 29<br>Num ICU Beds: NA<br>Bed Util: 0.13<br>Pot. Bed Increases: 36",25,NA
"39",39,39,-86.8748531,34.2075866,39,"Cullman Regional Medical Ctr","Short Term Acute Care Hospital",145,145,12,0.508172,0,34.207761,-86.874844,1,"rooftop","5982","Al Hwy 157 NW","Cullman","AL","Cullman County",35058,"US","Cullman","<b>Cullman Regional Medical Ctr</b><br>Cullman County<br>Num Beds: 145<br>Num ICU Beds: 12<br>Bed Util: 0.51<br>Pot. Bed Increases: 0",71,6
"40",40,40,-85.632075,31.451328,40,"Dale Medical Ctr","Short Term Acute Care Hospital",77,89,6,0.288241,12,31.452155,-85.631985,0.98,"nearest_street","480","James St","Ozark","AL","Dale County",36360,"US","TIGER/Line® dataset from the US Census Bureau","<b>Dale Medical Ctr</b><br>Dale County<br>Num Beds: 77<br>Num ICU Beds: 6<br>Bed Util: 0.29<br>Pot. Bed Increases: 12",55,4
"41",41,41,-87.056025,32.4292722,41,"Vaughan Regional Medical Ctr","Short Term Acute Care Hospital",109,175,23,0.4046,66,32.428942,-87.053466,0.96,"nearest_street","500","Hampton Rd","Selma","AL","Dallas County",36701,"US","TIGER/Line® dataset from the US Census Bureau","<b>Vaughan Regional Medical Ctr</b><br>Dallas County<br>Num Beds: 109<br>Num ICU Beds: 23<br>Bed Util: 0.4<br>Pot. Bed Increases: 66",65,14
"42",42,42,-85.7550138,34.4419753,42,"Dekalb Regional Medical Ctr","Short Term Acute Care Hospital",97,134,12,0.292219,37,34.439752,-85.75589,0.96,"nearest_street","567","Medical Ctr Dr SW","Fort Payne","AL","DeKalb County",35968,"US","TIGER/Line® dataset from the US Census Bureau","<b>Dekalb Regional Medical Ctr</b><br>DeKalb County<br>Num Beds: 97<br>Num ICU Beds: 12<br>Bed Util: 0.29<br>Pot. Bed Increases: 37",69,8
"43",43,43,-85.912363,32.534053,43,"Community Hospital","Short Term Acute Care Hospital",37,69,5,0.363791,32,32.533936,-85.912266,1,"rooftop","805","Friendship Rd","Tallassee","AL","Elmore County",36078,"US","Elmore","<b>Community Hospital</b><br>Elmore County<br>Num Beds: 37<br>Num ICU Beds: 5<br>Bed Util: 0.36<br>Pot. Bed Increases: 32",24,3
"44",44,44,-86.1866697,32.5523787,44,"Elmore Community Hospital","Short Term Acute Care Hospital",33,69,NA,0.298049,36,32.552257,-86.186358,1,"rooftop","500","Hospital Dr","Wetumpka","AL","Elmore County",36092,"US","Elmore","<b>Elmore Community Hospital</b><br>Elmore County<br>Num Beds: 33<br>Num ICU Beds: NA<br>Bed Util: 0.3<br>Pot. Bed Increases: 36",23,NA
"45",45,45,-87.0712,31.1249,45,"DW McMillan Memorial Hospital","Short Term Acute Care Hospital",46,91,8,0.322394,45,31.124977,-87.071267,0.99,"nearest_street","1202","County Rd 49","Brewton","AL","Escambia County",36426,"US","TIGER/Line® dataset from the US Census Bureau","<b>DW McMillan Memorial Hospital</b><br>Escambia County<br>Num Beds: 46<br>Num ICU Beds: 8<br>Bed Util: 0.32<br>Pot. Bed Increases: 45",31,5
"46",46,46,-87.4763489,31.0166253,46,"Atmore Community Hospital","Short Term Acute Care Hospital",49,51,6,0.325804,2,31.016104,-87.476697,0.98,"nearest_street","750","E Laurel St","Atmore","AL","Escambia County",36502,"US","TIGER/Line® dataset from the US Census Bureau","<b>Atmore Community Hospital</b><br>Escambia County<br>Num Beds: 49<br>Num ICU Beds: 6<br>Bed Util: 0.33<br>Pot. Bed Increases: 2",33,4
"47",47,47,-85.9675719,34.0074022,47,"Gadsden Regional Medical Ctr","Short Term Acute Care Hospital",222,346,40,0.719351,124,34.007576,-85.966999,0.99,"rooftop","500","Goodyear Ave","Gadsden","AL","Etowah County",35903,"US","Etowah","<b>Gadsden Regional Medical Ctr</b><br>Etowah County<br>Num Beds: 222<br>Num ICU Beds: 40<br>Bed Util: 0.72<br>Pot. Bed Increases: 124",62,11
"48",48,48,-86.003626,34.004403,48,"Riverview Regional Medical Ctr","Short Term Acute Care Hospital",256,281,NA,0.263474,25,34.004269,-86.003352,1,"rooftop","600","S 3rd St","Gadsden","AL","Etowah County",35901,"US","Etowah","<b>Riverview Regional Medical Ctr</b><br>Etowah County<br>Num Beds: 256<br>Num ICU Beds: NA<br>Bed Util: 0.26<br>Pot. Bed Increases: 25",189,NA
"49",49,49,-87.8242179,33.7080266,49,"Fayette Medical Center ","Short Term Acute Care Hospital",45,61,8,0.261309,16,33.707516,-87.823867,1,"nearest_street","1677","US Hwy 43","Fayette","AL","Fayette County",35555,"US","TIGER/Line® dataset from the US Census Bureau","<b>Fayette Medical Center </b><br>Fayette County<br>Num Beds: 45<br>Num ICU Beds: 8<br>Bed Util: 0.26<br>Pot. Bed Increases: 16",33,6
"50",50,50,-87.7183471,34.5107726,50,"Russellville Hospital","Short Term Acute Care Hospital",49,100,7,0.397819,51,34.510829,-87.717564,1,"nearest_street","","US 43","Russellville","AL","Franklin County",35653,"US","TIGER/Line® dataset from the US Census Bureau","<b>Russellville Hospital</b><br>Franklin County<br>Num Beds: 49<br>Num ICU Beds: 7<br>Bed Util: 0.4<br>Pot. Bed Increases: 51",30,4
"51",51,51,-88.1477,34.4575,51,"Red Bay Hospital","Critical Access Hospital",25,25,NA,0.309589,0,34.457232,-88.148232,0.98,"nearest_street","1089","6th St W","Red Bay","AL","Franklin County",35582,"US","TIGER/Line® dataset from the US Census Bureau","<b>Red Bay Hospital</b><br>Franklin County<br>Num Beds: 25<br>Num ICU Beds: NA<br>Bed Util: 0.31<br>Pot. Bed Increases: 0",17,NA
"52",52,52,-85.890977,31.048774,52,"Wiregrass Medical Ctr","Short Term Acute Care Hospital",73,83,6,0.165847,10,31.048167,-85.890335,0.98,"nearest_street","1248","W Maple Ave","Geneva","AL","Geneva County",36340,"US","TIGER/Line® dataset from the US Census Bureau","<b>Wiregrass Medical Ctr</b><br>Geneva County<br>Num Beds: 73<br>Num ICU Beds: 6<br>Bed Util: 0.17<br>Pot. Bed Increases: 10",61,5
"53",53,53,-87.89,32.8421,53,"Greene County Hospital","Short Term Acute Care Hospital",20,20,NA,0.067534,0,32.841943,-87.890185,0.99,"nearest_street","502","Wilson Ave","Eutaw","AL","Greene County",35462,"US","TIGER/Line® dataset from the US Census Bureau","<b>Greene County Hospital</b><br>Greene County<br>Num Beds: 20<br>Num ICU Beds: NA<br>Bed Util: 0.07<br>Pot. Bed Increases: 0",19,NA
"54",54,54,-87.5869077,32.6955444,54,"Hale County Hospital","Short Term Acute Care Hospital",28,39,NA,0.256164,11,32.694745,-87.587876,0.97,"nearest_street","338","1st St","Greensboro","AL","Hale County",36744,"US","TIGER/Line® dataset from the US Census Bureau","<b>Hale County Hospital</b><br>Hale County<br>Num Beds: 28<br>Num ICU Beds: NA<br>Bed Util: 0.26<br>Pot. Bed Increases: 11",21,NA
"55",55,55,-85.456757,31.2379068,55,"Flowers Hospital","Short Term Acute Care Hospital",235,235,26,0.613046,0,31.238104,-85.457115,0.99,"rooftop","4370","W Main St","Dothan","AL","Houston County",36303,"US","Houston","<b>Flowers Hospital</b><br>Houston County<br>Num Beds: 235<br>Num ICU Beds: 26<br>Bed Util: 0.61<br>Pot. Bed Increases: 0",91,10
"56",56,56,-85.3929544,31.2197115,56,"Southeast Health ","Short Term Acute Care Hospital",327,420,40,0.77556,93,31.219583,-85.392802,1,"rooftop","361","S Oates St","Dothan","AL","Houston County",36301,"US","Houston","<b>Southeast Health </b><br>Houston County<br>Num Beds: 327<br>Num ICU Beds: 40<br>Bed Util: 0.78<br>Pot. Bed Increases: 93",73,9
"57",57,57,-86.0466,34.6617,57,"Highlands Medical Ctr","Short Term Acute Care Hospital",92,170,10,0.152479,78,34.661417,-86.046481,1,"rooftop","399","Woods Cove Rd","Scottsboro","AL","Jackson County",35768,"US","Jackson","<b>Highlands Medical Ctr</b><br>Jackson County<br>Num Beds: 92<br>Num ICU Beds: 10<br>Bed Util: 0.15<br>Pot. Bed Increases: 78",78,8
"58",58,58,-86.7889111,33.5071812,58,"St Vincents Birmingham","Short Term Acute Care Hospital",400,409,83,0.673963,9,33.507132,-86.789069,1,"rooftop","810","St Vincents Dr","Birmingham","AL","Jefferson County",35205,"US","Jefferson","<b>St Vincents Birmingham</b><br>Jefferson County<br>Num Beds: 400<br>Num ICU Beds: 83<br>Bed Util: 0.67<br>Pot. Bed Increases: 9",130,27
"59",59,59,-86.8470166,33.4984021,59,"Princeton Baptist Medical Ctr","Short Term Acute Care Hospital",279,505,12,0.685265,226,33.497942,-86.847211,0.99,"rooftop","817","Princeton Ave SW","Birmingham","AL","Jefferson County",35211,"US","Jefferson","<b>Princeton Baptist Medical Ctr</b><br>Jefferson County<br>Num Beds: 279<br>Num ICU Beds: 12<br>Bed Util: 0.69<br>Pot. Bed Increases: 226",88,4
"60",60,60,-86.7188447,33.4327755,60,"Grandview Medical Center ","Short Term Acute Care Hospital",373,372,72,0.793046,-1,33.434994,-86.718368,1,"nearest_street","","US 280","Birmingham","AL","Jefferson County",35243,"US","TIGER/Line® dataset from the US Census Bureau","<b>Grandview Medical Center </b><br>Jefferson County<br>Num Beds: 373<br>Num ICU Beds: 72<br>Bed Util: 0.79<br>Pot. Bed Increases: -1",77,15
"61",61,61,-86.6676502,33.596457,61,"St Vincents East ","Short Term Acute Care Hospital",309,362,30,0.731977,53,33.595745,-86.667634,0.99,"rooftop","52","Medical Park Dr E","Birmingham","AL","Jefferson County",35235,"US","Jefferson","<b>St Vincents East </b><br>Jefferson County<br>Num Beds: 309<br>Num ICU Beds: 30<br>Bed Util: 0.73<br>Pot. Bed Increases: 53",83,8
"62",62,62,-86.8024575,33.5035754,62,"UAB Callahan Eye Hospital","Short Term Acute Care Hospital",12,106,NA,0.066895,94,33.503741,-86.802732,1,"rooftop","1720","University Blvd","Birmingham","AL","Jefferson County",35233,"US","Jefferson","<b>UAB Callahan Eye Hospital</b><br>Jefferson County<br>Num Beds: 12<br>Num ICU Beds: NA<br>Bed Util: 0.07<br>Pot. Bed Increases: 94",11,NA
"63",63,63,-87.6989,34.7464,63,"Helen Keller Hospital","Short Term Acute Care Hospital",178,185,12,0.395259,7,34.746194,-87.69855,1,"rooftop","1305","Montgomery Ave S","Sheffield","AL","Colbert County",35660,"US","Colbert","<b>Helen Keller Hospital</b><br>Colbert County<br>Num Beds: 178<br>Num ICU Beds: 12<br>Bed Util: 0.4<br>Pot. Bed Increases: 7",108,7
"64",64,64,-86.8031931,33.5066176,64,"UAB Hospital","Short Term Acute Care Hospital",1063,1157,37,0.799544,94,33.506576,-86.803168,1,"rooftop","500","19th St S","Birmingham","AL","Jefferson County",35203,"US","Jefferson","<b>UAB Hospital</b><br>Jefferson County<br>Num Beds: 1063<br>Num ICU Beds: 37<br>Bed Util: 0.8<br>Pot. Bed Increases: 94",213,7
