column,source,description,CATEGORY
f1491610,AHRF.csv,Percent Urban Population,Population
f1492110,AHRF.csv,Percent Urban Housing Units,Population
f1525319,AHRF.csv,# Community Health Centers,Healthcare System Characteristics
f1546116,AHRF.csv,"MarkEnr, HHld Inc <100% of FPL",Healthcare System Characteristics
f1547217,AHRF.csv,Pers <65 with Health Insurance,Healthcare System Characteristics
HPSA.Designation.Population,BCD_HPSA_FCT_DET_PC.csv,Population in Health Professional Shortage Areas,Healthcare System Characteristics
HPSA.Estimated.Underserved.Population,BCD_HPSA_FCT_DET_PC.csv,Estimated Underserved Population in Health Professional Shortage Areas,Healthcare System Characteristics
HPSA.Score,BCD_HPSA_FCT_DET_PC.csv,Health Professional Shortage Area Score,Healthcare System Characteristics
Adult.Obesity,MEREDITH/ACS,Rate of Adult Obesity,Vulnerable Population Health Measures
Asthma,MEREDITH/ACS,Rate of Asthma,Vulnerable Population Health Measures
Avg.Res.Per.Day,MEREDITH/ACS,Average Nursing Home Residents Per Day,Vulnerable Population Health Measures
Cancer,MEREDITH/ACS,Rate of Cancer,Vulnerable Population Health Measures
COPD,MEREDITH/ACS,Rate of COPD,Vulnerable Population Health Measures
Current.Smoker.Status,MEREDITH/ACS,Rate of Current Smoker,Vulnerable Population Health Measures
Diabetes,MEREDITH/ACS,Rate of Diabetes,Vulnerable Population Health Measures
Heart.Disease,MEREDITH/ACS,Rate of Heart Disease,Vulnerable Population Health Measures
HIV.Prevalence,MEREDITH/ACS,Rate of HIV Prevalence,Vulnerable Population Health Measures
Kidney.Disease,MEREDITH/ACS,Rate of Kidney Disease,Vulnerable Population Health Measures
Organ.Transplant.Pct,MEREDITH/ACS,Rate of Organ Transplants,Vulnerable Population Health Measures
Percent.of.pop.65.,MEREDITH/ACS,Percent of Population over 65,Population
Percent.of.pop.AIAN,MEREDITH/ACS,Percent of Population American Indian and Alaska Native,Population
Total.workers,Migrants_NCFH.csv,Total Migrant Workers,Population
pop_density,CensusBureau,Population Density,Population
staffed_beds_perM,DefinitiveHealth,Staffed Hospital Beds per Million,Healthcare System Characteristics
icu_beds_perM,DefinitiveHealth,Staffed ICU Beds per Million,Healthcare System Characteristics
nursing_pop_percent,Medicare,Percent of Population in Long Term Care,Population
fips,NA,NA,
